key,role,period,wins,matches
28,4,40+,169,331
28,1,0-15,78151,167976
28,1,15-20,56937,159287
28,1,20-25,19234,114793
28,1,30-35,79446,36428
28,1,35-40,44537,88561
28,1,40+,23771,5689
28,5,0-15,432,966
28,5,15-20,323,759
28,5,20-25,402,233
28,5,30-35,247,862
28,5,35-40,85,486
28,5,40+,139,280
28,3,0-15,33,78
28,3,15-20,24,51
28,3,20-25,8,41
28,3,30-35,17,90
28,3,35-40,32,78
28,3,40+,14,7
28,2,0-15,233,242
28,2,15-20,351,773
28,2,20-25,364,596
28,2,30-35,224,823
28,2,35-40,110,425
28,2,40+,78,203
81,4,0-15,1044,7529
81,4,15-20,3312,2247
81,4,20-25,3630,8361
81,4,30-35,2618,6295
81,4,35-40,1926,2099
81,4,40+,807,4256
81,1,0-15,575,1701
81,1,15-20,345,1439
81,1,20-25,570,556
81,1,30-35,404,122
81,1,35-40,141,849
81,1,40+,205,1484
81,5,0-15,18199,31460
81,5,15-20,19136,43195
81,5,20-25,13464,9895
81,5,30-35,10172,40007
81,5,35-40,4141,22028
81,5,40+,656,1491
81,3,0-15,399180,819354
81,3,15-20,552368,1121073
81,3,20-25,131715,1013115
81,3,30-35,261655,277801
81,3,35-40,494594,542683
81,3,40+,18840,277183
81,2,0-15,2199,6892
81,2,15-20,2877,8040
81,2,20-25,778,7093
81,2,30-35,2930,1121
81,2,35-40,1691,2973
81,2,40+,969,3883
9,4,0-15,755,1596
9,4,15-20,3173,6429
9,4,20-25,1707,4556
9,4,30-35,2189,3255
9,4,35-40,2944,5843
9,4,40+,96,236
9,1,0-15,141913,277311
9,1,15-20,137659,271081
9,1,20-25,95826,182812
9,1,30-35,30472,57039
9,1,35-40,77308,151690
9,1,40+,40139,80920
9,5,0-15,2477,4808
9,5,15-20,3594,6739
9,5,20-25,3343,1599
9,5,30-35,1856,3333
9,5,35-40,969,6183
9,5,40+,806,1761
9,3,0-15,102,338
9,3,15-20,29,394
9,3,20-25,195,132
9,3,30-35,167,65
9,3,35-40,101,391
9,3,40+,70,211
9,2,0-15,18448,35403
9,2,15-20,16727,8785
9,2,20-25,4694,31997
9,2,30-35,13356,25879
9,2,35-40,8652,16696
9,2,40+,4243,8105
114,4,0-15,129252,269264
114,4,15-20,44095,92081
114,4,20-25,185030,373361
114,4,30-35,165013,328410
114,4,35-40,85994,167774
114,4,40+,40701,77138
