key,role,objective,secured,wins,matches
12,1,riftDouble,True,11299,178
12,1,riftDouble,False,17901,790
12,1,eliteDouble,True,17301,228
12,1,eliteDouble,False,25894,1257
12,1,dragon1,True,38901,613
12,1,dragon1,False,43806,1672
12,1,baron1,True,41297,548
12,1,baron1,False,13398,811
12,1,blood1,True,47797,1094
12,1,blood1,False,35194,1191
12,1,tower1,True,54601,846
12,1,tower1,False,28899,1461
12,1,inhibitor1,True,63901,739
12,1,inhibitor1,False,10903,1312
12,1,dragonSoul,True,11100,119
12,1,dragonSoul,False,3198,427
12,1,airSoul,True,2100,22
12,1,airSoul,False,300,75
12,1,waterSoul,True,2500,27
12,1,waterSoul,False,700,81
12,1,fireSoul,True,1400,14
12,1,fireSoul,False,1000,90
12,1,earthSoul,True,3100,34
12,1,earthSoul,False,400,89
12,1,hextechSoul,True,2000,22
12,1,hextechSoul,False,800,92
12,5,blue,True,66896,1677
12,5,blue,False,66495,1743
12,5,rift1,True,75096,1440
12,5,rift1,False,57494,1945
12,5,rift2,True,62697,1090
12,5,rift2,False,39695,1461
12,5,riftDouble,True,39198,617
12,5,riftDouble,False,23598,980
12,5,eliteDouble,True,46698,691
12,5,eliteDouble,False,21095,1154
12,5,dragon1,True,83305,1470
12,5,dragon1,False,49197,1918
12,5,baron1,True,74398,958
12,5,baron1,False,18605,1182
12,5,blood1,True,78793,1609
12,5,blood1,False,54203,1796
12,5,tower1,True,83502,1270
12,5,tower1,False,49190,2135
12,5,inhibitor1,True,106099,1208
12,5,inhibitor1,False,14599,1841
12,5,dragonSoul,True,30498,351
12,5,dragonSoul,False,4902,440
12,5,airSoul,True,6300,73
12,5,airSoul,False,400,97
12,5,waterSoul,True,5800,67
12,5,waterSoul,False,700,75
12,5,fireSoul,True,6100,69
12,5,fireSoul,False,1300,103
12,5,earthSoul,True,6400,73
12,5,earthSoul,False,1000,71
12,5,hextechSoul,True,5900,69
12,5,hextechSoul,False,1500,94
12,3,blue,True,18901,644
12,3,blue,False,17999,729
12,3,rift1,True,21499,484
12,3,rift1,False,15302,833
12,3,rift2,True,16899,323
12,3,rift2,False,11198,569
12,3,riftDouble,True,11200,182
12,3,riftDouble,False,6701,384
12,3,eliteDouble,True,12901,179
12,3,eliteDouble,False,6601,571
12,3,dragon1,True,21700,423
12,3,dragon1,False,15002,907
12,3,baron1,True,17500,237
12,3,baron1,False,6402,408
12,3,blood1,True,19498,496
12,3,blood1,False,17200,870
12,3,tower1,True,19801,306
12,3,tower1,False,17099,1042
