key,role,physicalDamage,magicDamage,trueDamage,damage,damageTaken,heal,kills,deaths,assists,maxSpree,gold,minions,jungleCS
429,2,9020,685,358,10064,16547,1609,3.55,7.19,4.72,1.38,8195,62.85,9.88
43,4,2514,14163,484,17163,24470,5596,3.24,5.28,8.69,1.6,9818,146.71,3.7
43,1,1053,10513,871,12439,24170,6036,3.03,6.53,8.95,1.31,8822,34.47,72.45
43,5,1299,16059,780,18139,19657,3002,4.12,5.33,9.99,2.04,9997,140.58,3.97
43,3,1015,13609,599,15224,18165,2401,3.52,5.8,9.4,1.59,8997,102.57,3.45
43,2,845,10889,721,12457,17258,2118,2.38,5.88,13.03,0.99,8400,26.24,1.42
30,4,300,29281,1753,31335,22272,2044,6.03,7.4,8.16,2.25,12623,181.23,17.19
30,1,259,29992,1926,32180,28479,7457,8.26,7.16,9.55,3.2,13365,50.07,143.98
30,5,310,30534,1816,32663,22758,2248,7.2,7.19,9.14,2.72,12673,175.38,16.25
30,3,282,32601,1321,34206,22475,2020,8.84,8.23,9.82,3.03,12923,168.79,17.12
30,2,276,28459,1718,30455,22159,1686,6.74,9.39,11.26,2.17,11101,59.81,12.35
38,4,2124,17391,507,20024,26551,4538,6.43,5.87,5.12,3.18,11182,157.62,10.56
38,1,1458,14226,866,16552,31689,9176,6.7,6.46,5.14,3.19,11069,46.01,104.97
38,5,1759,19872,684,22316,26567,4392,8.24,5.89,5.83,4.02,11807,156.07,11.5
38,3,1509,17404,627,19542,26132,3855,7.8,6.91,5.78,3.44,11169,135.66,10.88
38,2,1120,12746,674,14541,22758,2652,5.05,7.35,6.39,2.04,9033,54.49,8.16
55,4,4721,16916,1307,22945,26845,3425,8.16,7.22,5.58,3.5,11839,148.6,7.47
55,1,3850,13980,1334,19166,31078,7415,7.77,7.57,6.16,3.19,11424,47.66,93.95
55,5,2424,20356,1191,23973,25510,3144,9.82,7.05,6.08,4.3,12206,145.1,6.76
55,3,3538,19554,1167,24260,26165,3229,10.57,7.67,6.39,4.26,12437,139.03,7.81
55,2,1497,15551,928,17977,23401,2305,6.9,8.01,7.12,2.67,10135,64.16,5.54
10,4,6136,12578,1405,20120,23767,6760,5.34,6.06,5.63,2.52,12360,186.98,18.96
10,1,4999,8602,1715,15319,28552,11154,4.77,6.29,6.1,2.14,11404,69.9,109.96
