key,role,path,rune_id,wins,matches
103,4,2,8106,252,545
103,4,1,8214,210,418
103,4,1,8229,483,974
103,4,1,8230,65,153
103,4,1,8224,16,57
103,4,2,8224,62,134
103,4,1,8226,716,1433
103,4,2,8226,3214,6696
103,4,1,8275,26,55
103,4,2,8275,55,108
103,4,1,8210,555,1124
103,4,2,8210,2778,5849
103,4,1,8234,95,187
103,4,2,8234,121,249
103,4,1,8233,108,234
103,4,2,8233,288,618
103,4,1,8237,353,736
103,4,2,8237,923,1934
103,4,1,8232,10,28
103,4,2,8232,18,46
103,4,1,8236,395,781
103,4,2,8236,828,1710
103,4,1,8437,129,291
103,4,1,8439,6,13
103,4,1,8465,2,4
103,4,1,8446,110,253
103,4,2,8446,49,107
103,4,1,8463,22,46
103,4,2,8463,1,7
103,4,1,8401,5,9
103,4,2,8401,3,7
103,4,1,8429,42,106
103,4,2,8429,35,60
103,4,1,8444,25,47
103,4,2,8444,38,73
103,4,1,8473,70,155
103,4,2,8473,100,214
103,4,1,8451,100,220
103,4,2,8451,81,160
103,4,1,8453,21,43
103,4,2,8453,33,69
103,4,1,8242,16,45
103,4,2,8242,28,63
103,4,1,8351,25,64
103,4,1,8360,67,125
103,4,1,8369,370,725
103,4,1,8306,0,5
103,4,2,8306,0,1
103,4,1,8304,222,430
103,4,2,8304,204,415
103,4,1,8313,240,479
103,4,2,8313,134,316
103,4,1,8321,138,270
103,4,2,8321,130,245
103,4,1,8316,140,277
103,4,2,8316,263,562
103,4,1,8345,184,367
103,4,2,8345,1599,3468
103,4,1,8347,389,774
103,4,2,8347,572,1207
103,4,1,8410,14,36
103,4,2,8410,33,68
103,4,1,8352,59,104
103,4,2,8352,1244,2704
103,4,1,5008,2003,4156
103,4,1,5005,4896,10352
103,4,1,5007,475,1040
103,4,1,5008f,7013,14764
103,4,1,5002f,248,509
103,4,1,5003f,114,275
103,4,1,5001,989,2109
103,4,1,5002,3404,7091
103,4,1,5003,2977,6348
103,1,1,8005,3,13
103,1,1,8008,5,26
103,1,1,8021,4,12
103,1,1,8010,7,30
103,1,1,9101,0,3
103,1,2,9101,4,17
103,1,1,9111,17,68
103,1,2,9111,14,45
103,1,1,8009,2,10
103,1,2,8009,5,15
103,1,1,9104,12,50
103,1,2,9104,7,33
103,1,1,9105,6,23
103,1,2,9105,5,12
103,1,1,9103,1,8
103,1,2,9103,0,2
103,1,1,8014,13,45
103,1,2,8014,14,43
103,1,1,8017,3,14
103,1,2,8017,1,4
103,1,1,8299,3,22
103,1,2,8299,2,3
103,1,1,8112,110,350
103,1,1,8124,4,12
103,1,1,8128,24,75
103,1,1,9923,0,8
103,1,1,8126,49,139
103,1,2,8126,8,24
103,1,1,8139,67,218
103,1,2,8139,4,14
103,1,1,8143,22,88
103,1,2,8143,3,14
103,1,1,8136,10,39
103,1,2,8136,2,4
103,1,1,8120,4,6
103,1,2,8120,0,1
103,1,1,8138,124,400
103,1,2,8138,4,27
103,1,1,8135,19,67
103,1,2,8135,4,18
103,1,1,8134,0,9
103,1,2,8134,2,3
103,1,1,8105,13,43
103,1,2,8105,1,16
103,1,1,8106,106,326
103,1,2,8106,14,41
103,1,1,8214,2,9
103,1,1,8229,4,27
103,1,1,8230,9,20
103,1,1,8224,1,3
103,1,2,8224,14,35
103,1,1,8226,7,36
103,1,2,8226,43,137
103,1,1,8275,7,17
103,1,2,8275,12,27
103,1,1,8210,12,39
103,1,2,8210,56,183
103,1,1,8234,2,10
103,1,2,8234,8,31
103,1,1,8233,1,7
103,1,2,8233,10,34
103,1,1,8237,4,19
103,1,2,8237,21,73
103,1,1,8232,3,9
103,1,2,8232,19,50
103,1,1,8236,8,28
103,1,2,8236,21,70
103,1,1,8437,11,27
103,1,1,8439,3,11
103,1,1,8465,0,1
103,1,1,8446,12,27
103,1,2,8446,0,7
103,1,1,8463,2,11
103,1,2,8463,0,1
103,1,1,8401,0,1
