key,role,ban_rate,pick_rate,wins,matches
17,2,12.66,0.66,75467,149974
412,4,1.82,0.06,5008,13027
412,1,1.82,0.01,414,1536
412,5,1.82,0.02,1446,4207
412,3,1.82,0.04,2772,9167
412,2,1.82,8.45,936607,1913396
18,4,5.36,0.2,21438,44738
18,1,5.36,0.04,3430,8644
18,5,5.36,1.1,130558,249776
18,3,5.36,10.68,1232079,2419161
18,2,5.36,0.06,4334,13217
48,4,3.78,1.21,135273,273333
48,1,3.78,4.21,483565,954154
48,5,3.78,0.03,3392,7352
48,3,3.78,0.01,728,1892
48,2,3.78,0.12,11934,26758
23,4,4.1,3.28,363172,742987
23,1,4.1,0.32,33351,73363
23,5,4.1,0.28,32537,63437
23,3,4.1,0.01,1130,2554
23,2,4.1,0.01,763,1955
4,4,0.14,0.06,6002,13320
4,1,0.14,0.02,1945,5477
4,5,0.14,2.19,236075,496164
4,3,0.14,0.07,6465,14763
4,2,0.14,0.08,8619,19044
29,4,6.32,0.05,5693,12254
29,1,6.32,0.83,84529,187093
29,5,6.32,0.33,38138,74300
29,3,6.32,6.13,702642,1389720
29,2,6.32,0.68,75459,153560
77,4,25.78,2.05,224876,465486
77,1,25.78,6.67,787373,1511272
77,5,25.78,0.09,9778,20115
77,3,25.78,0.01,792,1934
77,2,25.78,0.03,3126,7640
6,4,1.73,3.32,386312,752459
6,1,1.73,0.07,6852,15371
6,5,1.73,0.12,14309,27811
6,3,1.73,0.02,2457,5412
6,2,1.73,0.03,2469,5832
110,4,0.88,0.2,21591,44739
110,1,0.88,0.01,439,1256
110,5,0.88,2.0,219122,452919
110,3,0.88,4.17,462675,944813
110,2,0.88,0.1,9234,22229
67,4,10.68,2.48,274401,561377
67,1,10.68,0.04,3234,8287
67,5,10.68,0.18,19926,41426
67,3,10.68,7.43,828907,1683744
67,2,10.68,0.03,2266,7775
45,4,3.52,0.2,22086,44762
45,1,3.52,0.01,523,1586
45,5,3.52,5.77,668857,1307639
45,3,3.52,0.57,65894,129280
45,2,3.52,0.86,93719,194720
161,4,0.83,0.05,5199,10441
161,1,0.83,0.0,107,308
161,5,0.83,1.2,140801,272132
161,3,0.83,0.08,8502,17790
161,2,0.83,2.6,305071,588259
711,4,11.19,0.07,7456,15126
711,1,11.19,0.0,295,854
711,5,11.19,7.34,861990,1663110
711,3,11.19,0.04,4190,9232
711,2,11.19,0.33,36657,74887
254,4,1.01,0.08,8135,17503
254,1,1.01,4.93,568218,1117660
254,5,1.01,0.11,13007,25711
254,3,1.01,0.01,509,1243
254,2,1.01,0.05,4626,10259
234,4,4.03,0.21,22856,48444
234,1,4.03,7.68,853424,1738843
234,5,4.03,0.31,35797,70703
234,3,4.03,0.01,761,1753
234,2,4.03,0.02,1809,4433
112,4,5.87,0.28,32691,64505
112,1,5.87,0.0,86,287
112,5,5.87,7.55,885530,1711170
112,3,5.87,0.06,6585,12937
112,2,5.87,0.03,2928,6454
8,4,5.77,1.08,119421,245772
8,1,5.77,0.0,135,520
8,5,5.77,4.48,513525,1015073
8,3,5.77,0.05,5488,11302
8,2,5.77,0.01,822,2338
106,4,2.47,2.72,307695,617241
106,1,2.47,3.27,383662,741232
106,5,2.47,0.1,10856,21865
106,3,2.47,0.01,767,1925
106,2,2.47,0.05,5064,11530
19,4,5.39,1.97,230372,445508
19,1,5.39,6.51,754179,1474158
19,5,5.39,0.07,7453,14774
19,3,5.39,0.01,606,1569
19,2,5.39,0.03,2351,5784
498,4,0.37,0.01,1046,2333
498,1,0.37,0.0,178,486
